route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
GOLDHOPPER,G3MF,[@7.0.41987615@][3][1246633033359]/46__G3MF,EAST - GOLDHOPPER,0,G3MF,GOLDHOPPER 2
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/87__G3MF,SOUTH - PAR,1,G3MF,SILVER 120
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/51__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 2
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/89__G3MF,SOUTH - VET-MED,1,G3MF,SILVER 3
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/53__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 1
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/91__G3MF,SOUTH - VET-MED,1,G3MF,SILVER 3
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/55__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 1
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/93__G3MF,SOUTH - PAR,1,G3MF,SILVER 120
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/57__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 2
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/95__G3MF,SOUTH - VET-MED,1,G3MF,SILVER 3
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/59__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 1
SILVER,G3MF,[@12.0.42199629@][4][1246896833000]/97__G3MF,SOUTH - VET-MED,1,G3MF,SILVER 3
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/61__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 1
SILVER,G3MF,[@12.0.42199629@][4][1248899238250]/0__G3MF,SOUTH - PAR,1,G3MF,SILVER 120
SILVER,G3MF,[@12.0.42199629@][3][1246896590515]/63__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,SILVER 2
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/85__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725784899]/52__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][2][1363728725942]/86__G3MF,SOUTH - CAMPUS,1,G3MF,[@15.0.67924657@]7
SILVER LIMITED EVENING,G3MF,[@15.0.67924657@][1][1363725754977]/1__G3MF,NORTH - LINCOLN SQUARE,0,G3MF,[@15.0.67924657@]4
